,Ch_A,Ch_B,SyncVal
87,3,134,0.857217715569
112,4,134,0.857217715569
137,5,134,0.857217715569
161,6,134,0.857217715569
211,7,134,0.857217715569
245,8,134,0.857217715569
278,9,134,0.857217715569
536,18,149,0.794882997695
562,19,149,0.794882997695
587,20,149,0.794882997695
611,21,149,0.794882997695
629,21,26,0.471302108508
657,22,26,0.471302108508
661,22,149,0.794882997695
684,23,26,0.400616687903
696,23,213,0.73441748867
709,24,281,0.675700198901
710,24,26,0.471302108508
728,24,149,0.794882997695
733,25,281,0.675700198901
734,25,345,0.734189374471
735,25,26,0.471302108508
748,25,93,0.792899170974
760,26,90,0.471302108508
761,26,154,0.471302108508
762,26,218,0.471302108508
763,26,282,0.471302108508
764,26,346,0.471302108508
765,26,27,0.27878745607
766,26,91,0.471302108508
767,26,155,0.471302108508
768,26,219,0.471302108508
770,26,28,0.471302108508
771,26,92,0.471302108508
772,26,156,0.471302108508
773,26,220,0.471302108508
774,26,29,0.471302108508
779,26,31,0.303241114257
780,26,89,0.471302108508
781,26,153,0.471302108508
782,26,217,0.471302108508
784,26,88,0.471302108508
785,26,152,0.471302108508
786,26,216,0.471302108508
787,26,87,0.471302108508
788,26,151,0.920831946755
801,27,93,0.950413240792
802,27,157,0.479022991788
805,27,94,0.624341464654
809,27,32,0.810460068263
826,28,93,0.792899170974
827,28,157,0.591321733628
831,28,94,0.606858624906
836,28,159,0.952601301083
837,28,32,0.688370167176
839,28,33,0.658408450616
850,29,93,0.792899170974
851,29,157,0.591321733628
856,29,94,0.606858624906
862,29,159,0.952601301083
863,29,223,0.628865358755
864,29,32,0.688370167176
866,29,160,0.671458360222
867,29,33,0.658408450616
869,29,34,0.658408450616
880,30,94,0.726554337762
881,30,158,0.83165486895
899,30,35,0.678340322345
901,30,157,0.717058790177
912,31,223,0.67978264709
915,31,32,0.815636620202
917,31,160,0.990236881415
920,31,33,0.781294265759
923,31,225,0.855803384144
924,31,34,0.781294265759
927,31,35,0.573891659789
929,31,36,0.525356207626
930,31,94,0.651750423206
934,31,93,0.973107645373
935,31,157,0.503692006484
940,32,96,0.688370167176
942,32,224,0.822297817293
943,32,288,0.688370167176
944,32,352,0.688370167176
946,32,97,0.688370167176
949,32,289,0.688370167176
951,32,98,0.688370167176
955,32,99,0.688370167176
956,32,163,0.688370167176
960,32,95,0.688370167176
961,32,159,0.483606038645
967,32,93,0.222969564877
969,32,92,0.688370167176
970,33,97,0.658408450616
973,33,289,0.658408450616
974,33,353,0.658408450616
976,33,98,0.658408450616
981,33,99,0.658408450616
982,33,163,0.658408450616
986,33,164,0.658408450616
987,33,37,0.218487268243
988,33,101,0.218919993096
989,33,38,0.267026357511
990,33,96,0.658408450616
992,33,224,0.840686358148
993,33,288,0.658408450616
994,33,95,0.658408450616
995,33,159,0.53851384045
999,33,93,0.277700877876
1000,34,98,0.658408450616
1002,34,226,0.989544672869
1004,34,354,0.282754713342
1006,34,99,0.658408450616
1007,34,163,0.658408450616
1012,34,164,0.658408450616
1013,34,228,0.658408450616
1014,34,37,0.24700612146
1015,34,101,0.246060484492
1017,34,38,0.267026357511
1018,34,102,0.988504559546
1019,34,39,0.862815824406
1020,34,97,0.658408450616
1021,34,161,0.965489285291
1023,34,289,0.658408450616
1024,34,96,0.658408450616
1026,34,224,0.840686358148
1027,34,95,0.658408450616
1028,34,159,0.53851384045
1030,35,99,0.643317240129
1031,35,163,0.643317240129
1034,35,355,0.57410207061
1036,35,100,0.734150876033
1037,35,164,0.643317240129
1038,35,228,0.643317240129
1043,35,229,0.643317240129
1044,35,38,0.237210846707
1045,35,102,0.659078015547
1046,35,166,0.643317240129
1047,35,39,0.816176033304
1048,35,103,0.914814458098
1050,35,98,0.643317240129
1051,35,162,0.677582978756
1052,35,226,0.659887001005
1054,35,97,0.643317240129
1055,35,161,0.769638500888
1057,35,96,0.643317240129
1059,35,95,0.643317240129
1061,36,164,0.548712097864
1062,36,228,0.548712097864
1063,36,292,0.515428089414
1064,36,356,0.548712097864
1068,36,229,0.548712097864
1069,36,293,0.548712097864
1072,36,166,0.548712097864
1073,36,230,0.548712097864
1074,36,39,0.432168985059
1080,36,99,0.548712097864
1081,36,163,0.548712097864
1084,36,98,0.548712097864
1087,36,97,0.548712097864
1088,36,161,0.902316334537
1089,36,96,0.548712097864
1092,37,229,0.763233491757
1093,37,293,0.763233491757
1097,37,166,0.763233491757
1098,37,230,0.763233491757
1099,37,294,0.763233491757
1100,37,39,0.915098181818
1103,37,231,0.763233491757
1106,37,168,0.888509282493
1108,37,105,0.763233491757
1109,37,42,0.293760759035
1111,37,164,0.763233491757
1112,37,228,0.763233491757
1114,37,99,0.763233491757
1115,37,163,0.763233491757
1116,37,227,0.314465648855
1117,37,98,0.763233491757
1119,37,97,0.763233491757
1120,38,102,0.632919049793
1121,38,166,0.790218270065
1122,38,230,0.790218270065
1123,38,294,0.790218270065
1124,38,358,0.790218270065
1125,38,39,0.513989122724
1128,38,231,0.790218270065
1129,38,295,0.790218270065
1132,38,168,0.718049083955
1133,38,232,0.790218270065
1135,38,105,0.790218270065
1136,38,169,0.748991630132
1137,38,42,0.291910903669
1139,38,43,0.23765729585
1142,38,229,0.790218270065
1143,38,293,0.790218270065
1145,38,164,0.790218270065
1146,38,228,0.790218270065
1147,38,99,0.790218270065
1148,38,163,0.790218270065
1149,38,98,0.790218270065
1162,39,169,0.428804279421
1164,39,42,0.95579521824
